lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
CC du Golfe de Saint-Tropez,477,1876,794,3147,373,1985,884,3242,568,764,1668,2319,519,526,25,6389
CC du Grand Armagnac,33,134,105,272,28,161,144,333,s.s,52,116,243,60,83,s.s,605
CC du Grand Autunois Morvan,151,494,271,916,98,404,274,776,s.s,159,294,776,141,211,s.s,1692
CC du Grand Chambord,56,189,96,341,51,181,123,355,s.s,77,143,323,35,57,s.s,696
CC du Grand Châteaudun,157,520,245,922,125,510,255,890,s.s,142,297,778,197,281,s.s,1812
CC du Grand Langres,81,316,95,492,67,230,137,434,s.s,83,184,424,74,110,s.s,926
CC du Grand Pic Saint-Loup,164,626,296,1086,104,594,276,974,550,348,453,562,81,55,11,2060
CC du Grand Pontarlier,90,455,197,742,66,384,176,626,s.s,144,267,591,80,155,s.s,1368
CC du Grand Roye,146,397,187,730,129,386,209,724,s.s,83,251,695,174,202,s.s,1454
CC du Grand Saint Emilonnais,60,226,92,378,51,237,129,417,64,83,154,321,54,119,",",795
CC du Grand Villefranchois,96,351,184,631,78,330,192,600,s.s,140,284,546,66,77,s.s,1231
CC du Guillestrois et du Queyras,22,102,41,165,21,93,44,158,s.s,47,91,119,13,10,s.s,323
