Code EPCI,Libellé EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
200067742.0,CC Serre-Ponçon,746,353,628,75,92
200067759.0,CC Vallées et Plateau d'Ardenne,1443,249,504,122,161
200067767.0,CC du Royans-Vercors,412,147,255,31,41
200067783.0,CC de Hanau-La Petite Pierre,891,232,505,124,114
200067791.0,CA Pays Foix-Varilhes,1729,412,616,190,274
200067817.0,CC Saône-Beaujolais,1585,417,963,173,289
200067825.0,CA Gap-Tallard-Durance,2355,620,1110,371,219
200067841.0,CC de l'Alsace Bossue,934,260,434,108,120
200067866.0,CC Sèvre et Loire,1445,491,1276,214,242
200067874.0,CA de Haguenau,4070,825,2049,423,267
200067882.0,CC Bazois Loire Morvan,545,107,208,48,44
200067890.0,CC Morvan Sommets et Grands Lacs,454,98,172,47,48
200067908.0,CC Amognes Coeur du Nivernais,280,71,141,26,25
200067916.0,"CC Loire, Vignobles et Nohain",1029,237,491,108,102
200067924.0,CC du Canton d'Erstein,1623,355,914,159,185
200067932.0,CA Golfe du Morbihan - Vannes Agglomération,7476,1965,3848,898,946
200067940.0,CC Couserans-Pyrénées,2125,445,603,108,204
200067957.0,CC Haut Chemin-Pays de Pange,501,128,271,85,102
200067965.0,CA de la Région de Compiègne et de la Basse Automne,4221,967,1932,448,362
200067973.0,CC Thelloise,2434,466,1103,228,221
200067981.0,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,3596,820,1698,425,344
200067999.0,CA du Beauvaisis,6302,1124,2527,700,419
200068005.0,CC de l'Oise Picarde,943,204,568,111,87
200068047.0,CA Creil Sud Oise,6364,1058,2200,520,385
200068070.0,CC Loue-Lison,792,192,476,80,63
200068088.0,CC Les Bertranges,669,151,376,56,70
200068096.0,CC Champsaur-Valgaudemar,431,183,385,50,45
200068104.0,CA de la Provence Verte,5496,1168,2120,466,858
200068112.0,CC du Pays de Saverne,1399,300,764,196,155
200068120.0,CA Quimper Bretagne Occidentale,4738,1145,2645,631,661
200068146.0,CC Sarrebourg Moselle Sud,1806,435,852,285,304
200068229.0,CC des Baronnies en Drôme Provençale,1383,372,515,66,115
200068278.0,CC Berry Loire Puisaye,972,186,374,64,75
200068294.0,CC des Deux Vallées Vertes,623,144,355,34,60
200068369.0,CC de Mirecourt Dompaire,694,176,362,71,97
200068377.0,CC de la Porte des Vosges Méridionales,1596,313,661,120,259
200068435.0,CC Coeur du Perche,369,121,231,30,31
200068443.0,CC Andaine - Passais,513,123,217,35,41
200068450.0,CC Argentan Intercom,1411,385,681,185,148
200068468.0,CC des Pays de L'Aigle,1197,310,500,149,103
200068484.0,CC des Causses à l'Aubrac,489,123,220,65,58
200068500.0,CA de Cambrai,5241,960,2211,598,442
200068534.0,CC Terroir de Caux,1363,388,893,127,158
200068542.0,CC Les Balcons du Dauphiné,2966,672,1544,202,418
200068559.0,CC de l'Ouest Vosgien,1001,217,510,121,159
200068567.0,CC Les Vals du Dauphiné,2565,552,1321,196,327
200068625.0,CC Alpes-Provence-Verdon - Sources de Lumière,633,140,252,24,46
200068641.0,CA Le Muretain Agglo,5588,1311,3118,575,883
200068658.0,"CA de Chaumont, du Bassin Nogentais et du Bassin de Bologne Vignory Froncles",1870,448,899,206,232
200068666.0,CA de Saint-Dizier Der et Blaise,2995,673,1371,307,353
200068674.0,CA Grand Lac,3128,782,1516,280,545
200068682.0,CC Terre d'Eau,905,212,453,83,119
200068757.0,CA d'Épinal,5862,1128,2239,685,801
200068765.0,CC du Sisteronais-Buëch,1398,319,548,115,128
200068773.0,CC des Vosges côté Sud Ouest,509,116,204,48,83
200068781.0,CA Valence Romans Agglo,13025,2902,5880,1097,1165
200068799.0,CC Intercom de la Vire au Noireau,1972,556,1134,174,216
